Date,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
192607,   2.27,  -0.13, -99.99,  -5.19,   1.26,   8.65,   2.44,  50.21,  -0.62,   7.98, -99.99,   4.95,   0.06,   7.88, -99.99,   0.28,   2.40,  -8.21,   3.77, -99.99,   5.24,   3.17,  15.89,  -0.65,   0.52, -99.99, -99.99,   5.61,   0.76,  -1.46,   6.89,   0.83, -99.99,   5.37,   3.76, -99.99,  -0.41,   1.35, -99.99,   7.09,   1.60, -23.79,  -0.17,   1.62,   4.61,  -0.54,   2.76,  -5.96,   5.20
192608,   2.23,   2.56, -99.99,  27.03,   5.89,  16.81,  -0.81,  42.98,  -4.31,  -2.71, -99.99,   3.13,   3.72,   5.48, -99.99,   7.97,   4.55,   7.37,   1.63, -99.99,   1.50,   2.10,   3.64,  -7.24,   1.76, -99.99, -99.99,   0.52,   0.85,   3.31,  -2.07,   2.17, -99.99,   1.51,   3.08, -99.99,  -4.70,   5.11, -99.99,  -2.75,   4.42,   5.39,  -0.98,  -0.54,  11.83,   2.57,   3.89,   0.32,   6.68
192609,  -1.37,   0.83, -99.99,   4.02,   0.60,   8.33,   5.07,  -4.91,   0.25,  -1.36, -99.99,   3.42,  -0.30,   4.49, -99.99,   1.66,  -1.02, -13.73,  -0.36, -99.99,  -0.15,  -1.50,   4.51,  -7.09,   2.24, -99.99, -99.99,   0.05,   0.30,  -4.20,   1.65,   0.89, -99.99,   0.16,   3.20, -99.99,  -6.29,  -0.63, -99.99,  -5.56,  -0.23,  -7.87,   0.09,  -1.26,  -2.95,   0.62,  -3.06,  -4.93,  -3.86
192610,  -0.56,  -4.08, -99.99,  -3.31,   1.03,  -1.40,  -5.14,   5.37,  -5.16,   0.02, -99.99,   3.47,  -2.58,  -4.98, -99.99,   0.41,  -4.51,  -8.59,  -4.15, -99.99,   1.01,  -5.74,  -8.17, -13.36,  -5.96, -99.99, -99.99,  -3.23,   1.46,  -1.10,  -2.88,  -0.11, -99.99,   1.37,  -2.47, -99.99,  -5.85,   0.21, -99.99,  -5.67,  -2.92, -15.38,  -2.44,  -4.37, -11.82,  -4.28,  -5.87,  -1.15,  -8.49
192611,   6.75,   6.12, -99.99,   7.29,   3.99,   0.00,   1.77,  -9.79,  -1.16,   1.67, -99.99,   3.36,   5.23,   5.16, -99.99,   3.10,   2.15,   2.25,   3.30, -99.99,   2.30,   5.08,  -2.92,   5.73,   7.85, -99.99, -99.99,   8.43,  -0.48,  -0.63,   3.31,   1.63, -99.99,   0.78,   3.28, -99.99,   1.31,   2.55, -99.99,   3.41,   1.09,   4.67,   5.98,   3.89,  -2.97,   3.58,   0.72,   5.13,   3.91
192612,  -4.03,  -0.71, -99.99,  -4.09,   1.91,   2.48,   0.21,  -3.29,   1.70,  -0.34, -99.99,  -5.14,   0.69,   3.38, -99.99,   5.74,   1.97,  -1.67,   3.05, -99.99,   4.44,  -3.42,  10.17,   9.17,   1.53, -99.99, -99.99,  -0.18,   1.43,   2.27,  -0.67,   0.51, -99.99,   3.79,   3.28, -99.99,  -0.79,  10.14, -99.99,  -4.65,   2.92,   9.65,   0.41,   0.64,  -2.59,   1.53,   7.95,  -1.67,  -2.34
192701,  -3.66,  -0.60, -99.99,  -0.56,  -0.38,   1.73,   1.75,   1.21,   3.70,  -1.17, -99.99,   5.45,   4.14,  -0.08, -99.99,  -2.10,  -1.98,  -3.55,  -0.66, -99.99,   1.01,  -1.03,  -1.05,  -2.29,  -1.09, -99.99, -99.99,   4.00,  -4.30,   1.56,  -1.99,   1.88, -99.99,   5.42,   0.73, -99.99,  -0.57,  -3.01, -99.99,  -3.24,   1.05, -17.93,  -2.95,   1.41,  -5.37,  -0.82,  -1.84,  -3.23,  -3.96
192702,   7.65,   3.55, -99.99,  12.83,   0.69,  -8.16,   2.38,  10.31,   3.74,   2.57, -99.99,   4.10,   0.20,   9.67, -99.99,   7.66,   4.04,   8.01,   3.14, -99.99,   7.35,   4.30,   8.71,  -4.69,   4.68, -99.99, -99.99,   5.17,   5.64,   0.59,   4.13,   3.97, -99.99,   5.86,   6.82, -99.99,   5.82,   2.13, -99.99,   5.01,   4.75,   3.49,   2.97,   6.31,   8.30,   0.66,   2.76,   1.98,  -0.86
192703,  -2.56,   1.88, -99.99, -13.56,   4.87,  -8.89,   0.66,  -7.83,  -0.59,   0.00, -99.99,   0.52,   0.90,   5.17, -99.99,  -5.87,   2.36,   2.67,   0.90, -99.99,  -2.73,  -0.56,   1.29,   0.00,  -2.42, -99.99, -99.99,   2.97,   5.45,  -7.57,  -0.06,   4.16, -99.99,  -4.60,   4.74, -99.99, -12.57,   6.26, -99.99,  -9.69,   0.61, -20.47,  -0.46,  -2.88,  -9.49,   7.24,  -4.30,  -2.62,   2.18
192704,   5.39,   1.86, -99.99,   1.68,   3.97,  -0.41,  -4.18,   3.77,   1.13,   5.85, -99.99,  -0.37,   2.93,   2.68, -99.99,  -0.16,  -0.78,  -8.67,  -0.62, -99.99,   1.66,   6.29,   2.69, -11.48,  -1.11, -99.99, -99.99,   2.77,   0.25,  -5.95,   1.46,  -2.13, -99.99,   0.35,   4.73, -99.99,   8.82,   1.43, -99.99,   4.24,   0.59, -10.75,   3.73,   5.43,  -5.99,   3.09,   0.52,   7.95,   5.11
